# column 1: total pressure [Pa]
# column 2: pure component isotherm value
# column 3: mixture component isotherm value
# column 4: gas-phase mol-fraction y_i
# column 5: adsorbed phase mol-fraction x_i
# column 6: hypothetical pressure p_i^*
# column 7: reduced grand potential psi_i
1000 0 0 0.93 0 nan
1097.4987654931 0 0 0.93 0 nan
1204.5035402588 0 0 0.93 0 nan
1321.941148466 0 0 0.93 0 nan
1450.8287784959 0 0 0.93 0 nan
1592.2827933411 0 0 0.93 0 nan
1747.5284000077 0 0 0.93 0 nan
1917.9102616725 0 0 0.93 0 nan
2104.904144512 0 0 0.93 0 nan
2310.1297000832 0 0 0.93 0 nan
2535.3644939701 0 0 0.93 0 nan
2782.5594022071 0 0 0.93 0 nan
3053.8555088334 0 0 0.93 0 nan
3351.6026509388 0 0 0.93 0 nan
3678.3797718286 0 0 0.93 0 nan
4037.0172585966 0 0 0.93 0 nan
4430.6214575839 0 0 0.93 0 nan
4862.6015800654 0 0 0.93 0 nan
5336.6992312063 0 0 0.93 0 nan
5857.0208180567 0 0 0.93 0 nan
6428.0731172843 0 0 0.93 0 nan
7054.8023107186 0 0 0.93 0 nan
7742.6368268113 0 0 0.93 0 nan
8497.5343590864 0 0 0.93 0 nan
9326.0334688322 0 0 0.93 0 nan
10235.31021899 0 0 0.93 0 nan
11233.24032978 0 0 0.93 0 nan
12328.467394421 0 0 0.93 0 nan
13530.477745798 0 0 0.93 0 nan
14849.682622545 0 0 0.93 0 nan
16297.508346206 0 0 0.93 0 nan
17886.495290574 0 0 0.93 0 nan
19630.406500403 0 0 0.93 0 nan
21544.346900319 0 0 0.93 0 nan
23644.894126454 0 0 0.93 0 nan
25950.242113997 0 0 0.93 0 nan
28480.358684358 0 0 0.93 0 nan
31257.158496882 0 0 0.93 0 nan
34304.692863149 0 0 0.93 0 nan
37649.358067925 0 0 0.93 0 nan
41320.124001153 0 0 0.93 0 nan
45348.785081286 0 0 0.93 0 nan
49770.235643321 0 0 0.93 0 nan
54622.772176843 0 0 0.93 0 nan
59948.425031894 0 0 0.93 0 nan
65793.322465757 0 0 0.93 0 nan
72208.090183855 0 0 0.93 0 nan
79248.289835392 0 0 0.93 0 nan
86974.900261778 0 0 0.93 0 nan
95454.845666183 0 0 0.93 0 nan
104761.57527897 0 0 0.93 0 nan
114975.69953977 0 0 0.93 0 nan
126185.6883066 0 0 0.93 0 nan
138488.63713939 0 0 0.93 0 nan
151991.10829529 0 0 0.93 0 nan
166810.05372001 0 0 0.93 0 nan
183073.82802954 0 0 0.93 0 nan
200923.3002565 0 0 0.93 0 nan
220513.0739903 0 0 0.93 0 nan
242012.82647944 0 0 0.93 0 nan
265608.77829467 0 0 0.93 0 nan
291505.30628252 0 0 0.93 0 nan
319926.71377974 0 0 0.93 0 nan
351119.17342151 0 0 0.93 0 nan
385352.85937105 0 0 0.93 0 nan
422924.28743895 0 0 0.93 0 nan
464158.88336128 0 0 0.93 0 nan
509413.80148164 0 0 0.93 0 nan
559081.01825122 0 0 0.93 0 nan
613590.72734132 0 0 0.93 0 nan
673415.06577508 0 0 0.93 0 nan
739072.20335258 0 0 0.93 0 nan
811130.83078969 0 0 0.93 0 nan
890215.08544504 0 0 0.93 0 nan
977009.95729922 0 0 0.93 0 nan
1072267.2220103 0 0 0.93 0 nan
1176811.952435 0 0 0.93 0 nan
1291549.6650149 0 0 0.93 0 nan
1417474.1629268 0 0 0.93 0 nan
1555676.1439305 0 0 0.93 0 nan
1707352.6474707 0 0 0.93 0 nan
1873817.4228604 0 0 0.93 0 nan
2056512.3083487 0 0 0.93 0 nan
2257019.7196339 0 0 0.93 0 nan
2477076.3559917 0 0 0.93 0 nan
2718588.2427329 0 0 0.93 0 nan
2983647.2402833 0 0 0.93 0 nan
3274549.1628777 0 0 0.93 0 nan
3593813.6638046 0 0 0.93 0 nan
3944206.0594377 0 0 0.93 0 nan
4328761.2810831 0 0 0.93 0 nan
4750810.1621028 0 0 0.93 0 nan
5214008.2879997 0 0 0.93 0 nan
5722367.6593502 0 0 0.93 0 nan
6280291.4418342 0 0 0.93 0 nan
6892612.1043497 0 0 0.93 0 nan
7564633.2755463 0 0 0.93 0 nan
8302175.6813197 0 0 0.93 0 nan
9111627.5611549 0 0 0.93 0 nan
10000000 0 0 0.93 0 nan
