# column 1: total pressure [Pa]
# column 2: pure component isotherm value
# column 3: mixture component isotherm value
# column 4: gas-phase mol-fraction y_i
# column 5: adsorbed phase mol-fraction x_i
# column 6: hypothetical pressure p_i^*
# column 7: reduced grand potential psi_i
1000 0.010107858913837 0.00010161711238685 0.01 0.045429159973718 0.0022388078546074
1097.4987654931 0.01108585687185 0.00011150668018173 0.01 0.045429677255256 0.0024568767807334
1204.5035402588 0.01215768628006 0.0001223568003258 0.01 0.045430244901467 0.0026961638496583
1321.941148466 0.013332188395093 0.00013426037777753 0.01 0.045430867808629 0.0029587289673298
1450.8287784959 0.01461900496273 0.00014731922349779 0.01 0.045431551347497 0.0032468310772256
1592.2827933411 0.016028644093998 0.00016164489191988 0.01 0.045432301408987 0.0035629472000581
1747.5284000077 0.017572550204151 0.00017735959384326 0.01 0.045433124454155 0.0039097932555941
1917.9102616725 0.019263177968088 0.00019459719085717 0.01 0.045434027568959 0.004290346825369
2104.904144512 0.021114070163013 0.00021350427774802 0.01 0.045435018524148 0.0047078720275708
2310.1297000832 0.023139939165919 0.00023424135967956 0.01 0.045436105840772 0.0051659466884731
2535.3644939701 0.025356751746486 0.00025698413124489 0.01 0.045437298861884 0.005668492008485
2782.5594022071 0.02778181664125 0.0002819248647619 0.01 0.04543860783087 0.0062198049350707
3053.8555088334 0.03043387420852 0.00030927391540416 0.01 0.045440043977081 0.0068245934693488
3351.6026509388 0.033333187240975 0.00033926135090623 0.01 0.045441619609397 0.007488015147962
3678.3797718286 0.036501631749902 0.00037213871363179 0.01 0.045443348218358 0.0082157189566577
4037.0172585966 0.039962786227124 0.00040818092271824 0.01 0.045445244587656 0.0090138909465643
4430.6214575839 0.043742017533854 0.00044768832377414 0.01 0.045447324915724 0.0098893038382099
4862.6015800654 0.047866561156589 0.00049098889316718 0.01 0.045449606948301 0.010849370911347
5336.6992312063 0.052365593106477 0.00053844060324907 0.01 0.045452110122829 0.011902204490206
5857.0208180567 0.057270290219865 0.00059043395386243 0.01 0.045454855725643 0.013056679343207
6428.0731172843 0.062613875045979 0.00064739467409419 0.01 0.045457867062938 0.014322501322673
7054.8023107186 0.068431640888276 0.00070978659640194 0.01 0.045461169646554 0.015710281572721
7742.6368268113 0.074760951908984 0.00077811470285173 0.01 0.045464791395661 0.017231616631232
8497.5343590864 0.081641212527404 0.0008529283401638 0.01 0.045468762855462 0.01889917474314
9326.0334688322 0.089113799664818 0.00093482459644975 0.01 0.045473117434054 0.020726788685791
10235.31021899 0.097221950744062 0.0010244518278081 0.01 0.045477891658617 0.0227295553809
11233.24032978 0.10601059978201 0.0011225133171811 0.01 0.045483125452086 0.024923942529442
12328.467394421 0.11552615347203 0.0012297710409082 0.01 0.045488862431435 0.02732790245342
13530.477745798 0.12581619890681 0.0013470495100752 0.01 0.045495150228673 0.029960993258738
14849.682622545 0.13692913461899 0.0014752396438864 0.01 0.04550204083558 0.032844507343484
16297.508346206 0.14891371700716 0.0016153026207062 0.01 0.045509590973052 0.036001607162112
17886.495290574 0.16181851506998 0.0017682736389854 0.01 0.045517862485818 0.039457468014514
19630.406500403 0.17569126779356 0.0019352655048613 0.01 0.045526922763055 0.043239427455686
21544.346900319 0.19057814063269 0.0021174719457297 0.01 0.045536845185124 0.047377140712285
23644.894126454 0.2065228803845 0.0023161705294973 0.01 0.045547709596337 0.051902741242403
25950.242113997 0.22356587144142 0.0025327250476239 0.01 0.0455596028032 0.056851005280226
28480.358684358 0.24174310095637 0.0027685871966444 0.01 0.045572619097022 0.062259518863802
31257.158496882 0.26108504582549 0.0030252973680129 0.01 0.045586860799154 0.068168845448993
34304.692863149 0.28161550048625 0.0033044843304106 0.01 0.045602438826332 0.07462269176358
37649.358067925 0.3033503711398 0.0036078635629926 0.01 0.045619473272649 0.081668069052425
41320.124001153 0.32629646883102 0.0039372339735823 0.01 0.045638094003654 0.089355446309465
45348.785081286 0.3504503404369 0.0042944727141564 0.01 0.045658441256831 0.097738891490631
49770.235643321 0.37579718250412 0.0046815277890701 0.01 0.045680666241286 0.10687619606289
54622.772176843 0.40230988743368 0.0051004081418311 0.01 0.045704931727978 0.11682897758305
59948.425031894 0.42994827408943 0.0055531709067369 0.01 0.045731412620057 0.12766275433635
65793.322465757 0.45865855488015 0.0060419055256945 0.01 0.045760296491049 0.13944698542692
72208.090183855 0.48837308819432 0.0065687144616962 0.01 0.04579178407667 0.15225506913506
79248.289835392 0.51901045839059 0.0071356902925494 0.01 0.045826089703996 0.16616429188462
86974.900261778 0.55047591525861 0.0077448890452466 0.01 0.045863441639702 0.18125571984837
95454.845666183 0.58266219118069 0.0083982997360561 0.01 0.045904082337093 0.19761402512069
104761.57527897 0.61545069772206 0.009097810216271 0.01 0.045948268559842 0.21532723857034
114975.69953977 0.64871308499092 0.0098451695893316 0.01 0.045996271358839 0.23448642201839
126185.6883066 0.68231312807903 0.010641947660313 0.01 0.046048375877414 0.25518525333597
138488.63713939 0.7161088866601 0.011489492099285 0.01 0.046104880959682 0.2775195194801
151991.10829529 0.7499550678865 0.012388884238158 0.01 0.046166098536896 0.30158651442997
166810.05372001 0.78370551047388 0.013340894664788 0.01 0.046232352767789 0.32748434146986
183073.82802954 0.81721570040923 0.014345940012958 0.01 0.046303978910942 0.35531112228015
200923.3002565 0.8503452267554 0.015404042553288 0.01 0.046381321910465 0.38516411879183
220513.0739903 0.88296008973676 0.016514794346537 0.01 0.046464734680767 0.41713877763587
242012.82647944 0.91493478233033 0.017677327804271 0.01 0.046554576081894 0.45132771112794
265608.77829467 0.94615408011672 0.018890294490827 0.01 0.046651208583899 0.4878196328704
291505.30628252 0.9765144909524 0.020151853876822 0.01 0.046754995626707 0.52669826998548
319926.71377974 1.0059253346666 0.021459673506954 0.01 0.046866298690818 0.5680412774392
351119.17342151 1.0343094419638 0.022810941671523 0.01 0.046985474103583 0.61191918258886
385352.85937105 1.0616034796356 0.024202393181923 0.01 0.047112869615306 0.65839438971273
422924.28743895 1.0877579248954 0.025630348267544 0.01 0.047248820788544 0.70752027462642
464158.88336128 1.1127367243262 0.027090763969863 0.01 0.047393647252276 0.7593403983931
509413.80148164 1.1365166821036 0.028579296753377 0.01 0.047547648879443 0.81388786652724
559081.01825122 1.1590866277209 0.030091374433154 0.01 0.047711101951406 0.87118485601818
613590.72734132 1.1804464155877 0.031622274986366 0.01 0.047884255375611 0.93124232712725
673415.06577508 1.2006058080298 0.03316720941665 0.01 0.048067327023009 0.99405993051595
739072.20335258 1.2195832899531 0.034721405610942 0.01 0.048260500249462 1.0596261132152
811130.83078969 1.237404858399 0.036280190089045 0.01 0.048463920660478 1.1279184196769
890215.08544504 1.2541028240382 0.037839064699083 0.01 0.048677693171506 1.198903977111
977009.95729922 1.2697146549174 0.039393775641602 0.01 0.048901879407021 1.2725401479364
1072267.2220103 1.2842818859776 0.040940372680035 0.01 0.049136495471282 1.3487753268284
1176811.952435 1.2978491113823 0.042475256972011 0.01 0.049381510112616 1.4275498558048
1291549.6650149 1.3104630708102 0.043995216585033 0.01 0.049636843291967 1.5087970282254
1417474.1629268 1.3221718357419 0.045497449390862 0.01 0.049902365155844 1.5924441515141
1555676.1439305 1.3330240974911 0.046979573620069 0.01 0.050177895404411 1.6784136387952
1707352.6474707 1.3430685553069 0.048439626865023 0.01 0.050463203037529 1.7666241012819
1873817.4228604 1.3523534002567 0.049876054721049 0.01 0.050758006455637 1.8569914159442
2056512.3083487 1.3609258887283 0.051287690538822 0.01 0.051061973888475 1.9494297464263
2257019.7196339 1.3688319981518 0.052673727925428 0.01 0.051374724122949 2.0438524990999
2477076.3559917 1.3761161568425 0.054033687685533 0.01 0.051695827501783 2.1401732002498
2718588.2427329 1.3828210396 0.055367380853884 0.01 0.05202480716683 2.2383062844493
2983647.2402833 1.3889874207649 0.056674869356171 0.01 0.052361140524687 2.3381677880042
3274549.1628777 1.3946540767496 0.057956425669268 0.01 0.052704260917168 2.4396759447716
3593813.6638046 1.3998577305472 0.059212492655379 0.01 0.053053559484813 2.5427516846143
3944206.0594377 1.4046330313209 0.060443644536996 0.01 0.053408387217429 2.6473190371796
4328761.2810831 1.4090125628362 0.061650549776518 0.01 0.053768057191041 2.7533054455953
4750810.1621028 1.4130268751762 0.062833936437833 0.01 0.054131846995183 2.8606419960908
5214008.2879997 1.4167045348596 0.063994560444917 0.01 0.054499001357503 2.969263570521
5722367.6593502 1.4200721891219 0.065133177018353 0.01 0.054868734973751 3.0791089293688
6280291.4418342 1.4231546407312 0.066250515465095 0.01 0.055240235550021 3.1901207330999
6892612.1043497 1.4259749302613 0.067347257416986 0.01 0.055612667060334 3.3022455098062
7564633.2755463 1.4285544232494 0.068424018554766 0.01 0.055985173216237 3.4154335769699
8302175.6813197 1.4309129001113 0.069481333809729 0.01 0.05635688113634 3.5296389249536
9111627.5611549 1.4330686470786 0.070519645997721 0.01 0.056726905193053 3.6448190695137
10000000 1.435038546766 0.071539297802547 0.01 0.05709435100213 3.7609348802648
